customer_id,customer_name,card_last_four,home_city,home_state,account_age_days
CU28830-706451,Timothy,1809,Butlerville,GU,1759.0
CU34181-790927,Sean,4941,Powerschester,GA,1844.0
CU29205-956140,Robert,3158,East Douglas,MH,2099.0
CU2687-142537,Courtney,7786, Julieborough ,WA,1657.0
CU21451-420796,Reginald,8063,North Justin,OK,1845.0
CU4195-346661,Bruce,1853,Freemanside,ND,1911.0
CU41972-905325,Jennifer,2939,Bradychester,SC,1610.0
CU35836-352724,Michael,2495,West Benjamin,MA,2252.0
CU92453-611493,Rodney,5283,Martinbury,IL,2043.0
CU57114-529452,Gregory,7988,Toddport,PW,1962.0
CU30102-871969,Jeffrey,3175,Stevenbury,TN,1681.0
CU4709-197293,Robert,5370,New Jacobchester,NH,1908.0
CU27286-427302,Elizabeth,5735,East Samanthafurt,GA,1741.0
CU78820-971029,Edgar,,Port Kathryn,MI,2223.0
CU33591-202335, Matthew ,9494,Williamsborough,MD,1674.0
CU92912-813958,Ashley,5620,Kerryport,SD,2148.0
CU556-480734,Curtis,3836,Lake Jim,NJ,2037.0
CU68240-801696,Sylvia,4505,Cervantesview,DE,1599.0
CU52389-668443,Eric,5789,South Linda,PR,1779.0
CU90933-239684,Kimberly,6693,Williamsside,FM,1832.0
CU53250-882591,Marissa,4150,Lake Kathrynbury,KS,2252.0
CU81671-197162,Dawn,9926,Ericborough,NV,2014.0
CU81683-659177,Tammy,6842,,UT,2120.0
CU44060-322897,Ashley,2698,Parkhaven,WY,1600.0
CU98244-779006,Christian,8472,Gainesside,VA,1756.0
CU27459-80521,Gary,1974,East Anthony,,2029.0
CU18236-228583,Andrew,5416,South Feliciastad,MI,1867.0
CU13553-360007,Troy,8499,Jonathanburgh,CA,1685.0
CU62420-506783,Patricia,5313,South Samantha,VA,1691.0
CU11201-13931,Troy,8642,Jameston,VT,1813.0
CU13664-79792,Susan,8714,North Christopher,MH,2160.0
CU23562-96081,Christopher,6852,Sophiabury,LA,2245.0
CU38912-266318,Carolyn,3919, North David ,ID,1558.0
CU93018-250325,Sabrina,8595,Bryantville,SD,1988.0
CU50273-567065,Kevin,3701,Richardland,OK,1102.0
CU64558-823057,Alyssa,8589,Emilymouth,AK,2037.0
CU69860-243119,Eileen,5118,Lake Dawnfurt,MT,1785.0
CU42562-490409,Samuel,8818,Marshallchester,IN,1827.0
CU83845-30668,Dominique,1735,East Anthonyshire,DE,1985.0
CU73406-323708,Danny,4173,Port Kyletown,OH,1825.0
CU10610-359218,Sarah,5716,Shermanshire,WV,1852.0
CU91614-441261, Stephen ,6683,Dunnfurt,RI,1397.0
CU31054-766543,Sarah,4151,Lindaborough,UT,2220.0
CU61359-510895,Jonathan,6589,Michaelstad,RI,1831.0
CU82155-806313,Sierra,4330,West Nancymouth,,1890.0
CU31141-703393,Judith,5290,West Sarastad,KY,1893.0
CU76852-119391,Jamie,6862,East Molly,NC,1601.0
CU94355-107454,Randall,1158,,CA,1761.0
CU3449-419497,Joshua,1338,Reynoldschester,HI,1711.0
CU12698-941195,Kathleen,3217,West Jesusmouth,CT,1672.0
CU25407-122805,Angela,8003,Smithhaven,RI,2182.0
